2024-12-06T11:20:50.003940 | Position: 55.471540, 10.324288, 53.09 m | Raw Position: 55.471539, 10.324287, 53.10 m | RSSI: -43.8 | Remote RSSI: -42.8
2024-12-06T11:20:51.004022 | Position: 55.471539, 10.324287, 53.09 m | Raw Position: 55.471539, 10.324287, 53.09 m | RSSI: -49.1 | Remote RSSI: -47.5
2024-12-06T11:20:52.003782 | Position: 55.471539, 10.324287, 53.08 m | Raw Position: 55.471539, 10.324287, 53.06 m | RSSI: -46.5 | Remote RSSI: -42.3
2024-12-06T11:20:53.003971 | Position: 55.471539, 10.324287, 53.07 m | Raw Position: 55.471539, 10.324287, 53.09 m | RSSI: -41.2 | Remote RSSI: -43.3
2024-12-06T11:20:54.003747 | Position: 55.471539, 10.324286, 53.08 m | Raw Position: 55.471539, 10.324286, 53.12 m | RSSI: -43.8 | Remote RSSI: -40.7
2024-12-06T11:20:55.003796 | Position: 55.471539, 10.324286, 53.08 m | Raw Position: 55.471539, 10.324286, 53.11 m | RSSI: -43.8 | Remote RSSI: -40.2
2024-12-06T11:20:56.003763 | Position: 55.471539, 10.324286, 53.09 m | Raw Position: 55.471539, 10.324286, 53.09 m | RSSI: -41.2 | Remote RSSI: -41.2
2024-12-06T11:20:57.003804 | Position: 55.471539, 10.324286, 53.09 m | Raw Position: 55.471539, 10.324285, 53.13 m | RSSI: -40.7 | Remote RSSI: -43.8
2024-12-06T11:20:58.003785 | Position: 55.471539, 10.324285, 53.10 m | Raw Position: 55.471539, 10.324284, 53.14 m | RSSI: -43.8 | Remote RSSI: -40.7
2024-12-06T11:20:59.003791 | Position: 55.471539, 10.324285, 53.12 m | Raw Position: 55.471539, 10.324284, 53.20 m | RSSI: -40.7 | Remote RSSI: -41.7
2024-12-06T11:21:00.003810 | Position: 55.471539, 10.324284, 53.16 m | Raw Position: 55.471539, 10.324284, 53.28 m | RSSI: -35.4 | Remote RSSI: -37.5
2024-12-06T11:21:01.003759 | Position: 55.471539, 10.324284, 53.20 m | Raw Position: 55.471540, 10.324284, 53.40 m | RSSI: -38.1 | Remote RSSI: -39.6
2024-12-06T11:21:02.003950 | Position: 55.471539, 10.324284, 53.30 m | Raw Position: 55.471540, 10.324283, 53.49 m | RSSI: -37.5 | Remote RSSI: -37.0
2024-12-06T11:21:03.003947 | Position: 55.471540, 10.324283, 53.38 m | Raw Position: 55.471540, 10.324283, 53.51 m | RSSI: -40.7 | Remote RSSI: -39.1
2024-12-06T11:21:04.004006 | Position: 55.471540, 10.324283, 53.44 m | Raw Position: 55.471540, 10.324282, 53.56 m | RSSI: -40.7 | Remote RSSI: -38.6
2024-12-06T11:21:05.003799 | Position: 55.471540, 10.324283, 53.51 m | Raw Position: 55.471540, 10.324282, 53.61 m | RSSI: -40.2 | Remote RSSI: -40.7
2024-12-06T11:21:06.004240 | Position: 55.471540, 10.324282, 53.57 m | Raw Position: 55.471539, 10.324282, 53.63 m | RSSI: -44.4 | Remote RSSI: -43.3
